City, Longitude, Latitude
North Hollywood, 34.208142, -118.4011
Los Angeles, 34.0522, -118.2437
Artesia, 33.867215, -118.08062
Valencia, 34.445313, -118.55252
Inglewood, 33.975263, -118.35558
Carson, 33.786594, -118.298662
Rosemead, 33.786594, -118.298662
Brentwood, 34.0521, -118.4732
Burbank, 33.786594, -118.298662
Beverly Hills, 33.786594, -118.298662
Covina, 34.085809, -117.88694
Torrance, 33.786594, -118.298662
Wilmington, 33.784018, -118.25897
Temple City, 34.101608, -118.05606
Norwalk, 33.786594, -118.298662
Stevenson Ranch, 34.384663, -118.58704
Duarte, 34.137707, -117.96569
La Puente, 34.046889, -117.98464
Encino, 33.786594, -118.298662
Arcadia, 33.786594, -118.298662
Northridge, 34.235055, -118.51766
Claremont, 34.110009, -117.71973
Whittier, 33.786594, -118.298662
Santa Monica, 34.01491, -118.4922
Santa Fe Springs, 33.786594, -118.298662
Canoga Park, 33.786594, -118.298662
Chatsworth, 33.786594, -118.298662
Redondo Beach, 33.828815, -118.38322
Westlake Village, 34.14348, -118.85608
San Gabriel, 34.089059, -118.0951
Malibu, 33.786594, -118.298662
West Covina, 34.063645, -117.89743
Hacienda Heights, 34.000578, -117.96943
Sherman Oaks, 33.786594, -118.298662
San Marino, 33.786594, -118.298662
Glendale, 33.786594, -118.298662
La Verne, 34.117047, -117.77097
Monterey Park, 34.048207, -118.14161
Altadena, 33.786594, -118.298662
La Canada Flintridge, 33.786594, -118.298662
Downey, 33.786594, -118.298662
Rancho Palos Verdes, 33.769667, -118.313405
Alhambra, 34.090409, -118.127
Llano, 34.493392, -117.77444
Agoura Hills, 34.139536, -118.7607
Compton, 33.890566, -118.23666
Calabasas, 34.133513, -118.66464
West Hollywood, 34.090975, -118.3813
Del Rey, 33.9860, -118.4249
Gardena, 33.899265, -118.319
Sunland, 34.261221, -118.31887
Lakewood, 33.851965, -118.1468
Hawaiian Gardens, 33.828565, -118.07364
Pico Rivera, 33.786594, -118.298662
Winnetka, 33.786594, -118.298662
Playa Del Rey, 33.957012, -118.44167
West Hills, 34.197737, -118.64797
South El Monte, 34.05051, -118.04834
Lawndale, 33.895363, -118.37689
El Monte, 33.786594, -118.298662
Newhall, 34.377782, -118.51489
Lake Hughes, 34.676708, -118.45592
Culver City, 33.997179, -118.40145
South Pasadena, 33.786594, -118.298662
Santa Clarita, 33.786594, -118.298662
Palos Verdes Peninsula, 33.784099, -118.38752
Palmdale, 34.561207, -118.0375
Rowland Heights, 33.985012, -117.89705000000001
San Fernando, 33.786594, -118.298662
Hawthorne, 33.786594, -118.298662
La Mirada, 33.786594, -118.298662
Walnut, 33.786594, -118.298662
Granada Hills, 33.786594, -118.298662
Monrovia, 33.786594, -118.298662
Woodland Hills, 33.786594, -118.298662
Bell Gardens, 33.786594, -118.298662
Panorama City, 34.223753, -118.44322
Tarzana, 34.164255, -118.54472
Pacoima, 33.786594, -118.298662
Valley Village, 33.786594, -118.298662
Maywood, 33.988813, -118.18642
Studio City, 33.786594, -118.298662
North Hills, 33.786594, -118.298662
Reseda, 33.786594, -118.298662
Sierra Madre, 33.786594, -118.298662
Westwood, 34.0635, -118.4455
Tujunga, 33.786594, -118.298662
Bellflower, 33.786594, -118.298662
Venice, 33.786594, -118.298662
El Segundo, 33.921313, -118.40843
Pomona, 34.06521, -117.77932
Cerritos, 33.868314, -118.06754
Acton, 34.497245, -118.18951
Huntington Park, 33.978404, -118.21773
Sun Valley, 33.786594, -118.298662
Pacific Palisades, 34.050505, -118.53374
Mission Hills, 33.786594, -118.298662
Manhattan Beach, 33.786594, -118.298662
South Gate, 33.944264, -118.1949
Canyon Country, 33.786594, -118.298662
Paramount, 33.899915, -118.16231
Toluca Lake, 33.786594, -118.298662
Glendora, 34.119245, -117.8548
Avalon, 33.368642, -118.40835
Azusa, 34.128907, -117.90309
Diamond Bar, 34.004172, -117.81673
Lomita, 33.793384, -118.31611
Hermosa Beach, 33.866314, -118.39968
Montebello, 34.014212, -118.11358
Bell, 33.972814, -118.17385
Harbor City, 33.797317, -118.30065
Littlerock, 34.533321, -117.94904
Baldwin Park, 34.087108, -117.96966
